Employee #,Last Name,First Name,Date,Time-in,Time-out,"Hours 
Worked",Week
10001,Crisostomo,Jose,09-Jan-22,8:00,17:00,8.00,
10002,Mata,Christian,09-Jan-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-Jan-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,09-Jan-22,8:00,17:00,8.00,
10005,Romualdez,Alice,09-Jan-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,09-Jan-22,8:00,17:00,8.00,
10007,Farala,Martha,09-Jan-22,8:27,17:00,7.55,
10008,Martinez,Leila,09-Jan-22,8:01,17:00,7.98,
10009,San Jose,Allison ,09-Jan-22,8:05,17:00,7.92,
10010,Rosario,Cydney ,09-Jan-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-Jan-22,8:00,17:00,8.00,
10012,De Leon,Selena ,09-Jan-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-Jan-22,8:00,17:00,8.00,
10014,Bautista,Mark ,09-Jan-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,09-Jan-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,09-Jan-22,8:28,17:00,7.53,
10017,Santos,Vella ,09-Jan-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,09-Jan-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,09-Jan-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,09-Jan-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,09-Jan-22,8:11,17:00,7.82,
10022,Villegas,Lizeth ,09-Jan-22,8:00,17:00,8.00,
10023,Ramos,Carol ,09-Jan-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,09-Jan-22,8:21,17:00,7.65,
10025,Aguilar,Delia ,09-Jan-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,09-Feb-22,8:00,17:00,8.00,
10002,Mata,Christian,09-Feb-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-Feb-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,09-Feb-22,8:00,17:00,8.00,
10005,Romualdez,Alice,09-Feb-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,09-Feb-22,8:00,17:00,8.00,
10007,Farala,Martha,09-Feb-22,8:00,17:00,8.00,
10008,Martinez,Leila,09-Feb-22,8:00,17:00,8.00,
10009,San Jose,Allison ,09-Feb-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,09-Feb-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-Feb-22,8:00,17:00,8.00,
10012,De Leon,Selena ,09-Feb-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-Feb-22,8:00,17:00,8.00,
10014,Bautista,Mark ,09-Feb-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,09-Feb-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,09-Feb-22,8:00,17:00,8.00,
10017,Santos,Vella ,09-Feb-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,09-Feb-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,09-Feb-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,09-Feb-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,09-Feb-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,09-Feb-22,8:00,17:00,8.00,
10023,Ramos,Carol ,09-Feb-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,09-Feb-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,09-Feb-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,09-May-22,8:00,17:00,8.00,
10002,Mata,Christian,09-May-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-May-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,09-May-22,8:00,17:00,8.00,
10005,Romualdez,Alice,09-May-22,8:15,17:00,7.75,
10006,Atienza,Rosie ,09-May-22,8:00,17:00,8.00,
10007,Farala,Martha,09-May-22,8:00,17:00,8.00,
10008,Martinez,Leila,09-May-22,8:00,17:00,8.00,
10009,San Jose,Allison ,09-May-22,8:00,17:00,8.00,
10010,Rosario,Cydney ,09-May-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-May-22,10:30,17:00,5.50,
10012,De Leon,Selena ,09-May-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-May-22,8:00,17:00,8.00,
10014,Bautista,Mark ,09-May-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,09-May-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,09-May-22,8:00,17:00,8.00,
10017,Santos,Vella ,09-May-22,8:00,17:00,8.00,
10018,Del Rosario,Tomas,09-May-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,09-May-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,09-May-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,09-May-22,13:00,17:00,3.00,
10022,Villegas,Lizeth ,09-May-22,8:00,17:00,8.00,
10023,Ramos,Carol ,09-May-22,8:00,17:00,8.00,
10024,Maceda,Emelia ,09-May-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,09-May-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,09-Jun-22,8:00,17:00,8.00,
10002,Mata,Christian,09-Jun-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-Jun-22,11:30,17:00,4.50,
10004,Salcedo,Anthony,09-Jun-22,8:00,17:00,8.00,
10005,Romualdez,Alice,09-Jun-22,8:00,17:00,8.00,
10006,Atienza,Rosie ,09-Jun-22,8:00,17:00,8.00,
10007,Farala,Martha,09-Jun-22,8:00,17:00,8.00,
10008,Martinez,Leila,09-Jun-22,8:10,17:00,7.83,
10009,San Jose,Allison ,09-Jun-22,0:00,0:00,fixed,
10010,Rosario,Cydney ,09-Jun-22,8:00,17:00,8.00,
10011,Lopez,Josie ,09-Jun-22,8:00,17:00,8.00,
10012,De Leon,Selena ,09-Jun-22,8:00,17:00,8.00,
10013,Romualdez,Fredrick ,09-Jun-22,8:00,17:00,8.00,
10014,Bautista,Mark ,09-Jun-22,8:00,17:00,8.00,
10015,Lazaro,Darlene ,09-Jun-22,8:00,17:00,8.00,
10016,Delos Santos,Kolby ,09-Jun-22,8:00,17:00,8.00,
10017,Santos,Vella ,09-Jun-22,8:05,17:00,7.92,
10018,Del Rosario,Tomas,09-Jun-22,8:00,17:00,8.00,
10019,Tolentino,Jacklyn ,09-Jun-22,8:00,17:00,8.00,
10020,Gutierrez,Percival ,09-Jun-22,8:00,17:00,8.00,
10021,Manalaysay,Garfield ,09-Jun-22,8:00,17:00,8.00,
10022,Villegas,Lizeth ,09-Jun-22,8:00,17:00,8.00,
10023,Ramos,Carol ,09-Jun-22,9:00,17:00,7.00,
10024,Maceda,Emelia ,09-Jun-22,8:00,17:00,8.00,
10025,Aguilar,Delia ,09-Jun-22,8:00,17:00,8.00,
10001,Crisostomo,Jose,09-Jul-22,8:00,17:00,8.00,
10002,Mata,Christian,09-Jul-22,8:00,17:00,8.00,
10003,San Jose,Brad ,09-Jul-22,8:00,17:00,8.00,
10004,Salcedo,Anthony,09-Jul-22,8:00,17:00,8.00,
